index,capacity,chp,chp_capacity,city,commissioned,company,zone,eta,fuel,lat,lon,name,postcode,status,street,technology
0,16.8,yes,,Alfeld,1988,Sappi Alfeld GmbH,DE,0.38,Biomass and biogas,51.984761,9.822831,Werkskraftwerk Sappi Alfeld,31061,operating,Mühlenmarsch 1,Steam turbine
1,9.8,no,,Altenstadt,1999,Heizkraftwerk Altenstadt GmbH & Co. KG,DE,0.38,Biomass and biogas,47.79714,10.85874,HKW Altenstadt,86972,operating,Triebstraße 90,Steam turbine
2,138.9,yes,600,Arneburg,2004,Zellstoff Stendal GmbH,DE,0.38,Biomass and biogas,52.72713,12.01115,Zellstoff Stendal GmbH,39596,operating,Goldbecker Straße 1,Steam turbine
3,1.1,yes,,Aschaffenburg,2005,DS Smith Paper Deutschland GmbH,DE,0.38,Biomass and biogas,49.988218,9.155761,Blockheizkraftwerk 1,63741,operating,Weichertstr. 7,Steam turbine
4,0.8,yes,,Aschaffenburg,2010,DS Smith Paper Deutschland GmbH,DE,0.38,Biomass and biogas,49.988218,9.155761,Blockheizkraftwerk 2,63741,operating,Weichertstr. 7,Steam turbine
5,16,yes,,Baruth/Mark,2002,Pfleiderer Baruth GmbH,DE,0.38,Biomass and biogas,52.07778,13.51725,UTB,15837,operating,An der Birkenpfuhlheide 3,Steam turbine
6,17.7,no,,Bergkamen,2005,RWE Energiedienstleistungen GmbH,DE,0.38,Biomass and biogas,51.63701,7.61876,BMKW Bergkamen,59192,operating,Ernst-Schering-Straße 10,Steam turbine
7,16.5,yes,,Berlin,2005,RWE Energiedienstleistungen GmbH,DE,0.38,Biomass and biogas,52.42529,13.517308,HHKW Berlin-Neukölln,12355,operating,Köpenicker Straße 32,Steam turbine
8,20,no,,Bertikow,2003,ENERTRAG Aktiengesellschaft,DE,0.38,Biomass and biogas,53.252132,13.957019,ENERTRAG Netz GmbH  (UW Bertikow),17291,operating,,Steam turbine
9,18.1,no,,Bischofferode,2006,Stadtwerke Leipzig GmbH,DE,0.38,Biomass and biogas,51.48993,10.41307,Biomassekraftwerk Bischofferode,37345,operating,,Steam turbine
10,18,yes,,Brilon ,1990,Egger Kraftwerk Brilon GmbH,DE,0.38,Biomass and biogas,51.40667,8.60115,Egger Kraftwerk Briilon,59929,operating,Im Kissen 19,Steam turbine
11,13.2,yes,,Ehingen,1990,Sappi Ehingen GmbH,DE,0.38,Biomass and biogas,48.26698,9.72615,Werkskraftwerk Sappi Ehingen,89584,operating,Kessel 5 - Turbine 5,Steam turbine
12,8,yes,,Ehingen,1961,Sappi Ehingen GmbH,DE,0.38,Biomass and biogas,48.26693,9.72626,Werkskraftwerk Sappi Ehingen,89584,operating,Kessel 4 - Turbine 3,Steam turbine
13,20,yes,,Emden,2005,Statkraft Markets GmbH,DE,0.38,Biomass and biogas,53.34217,7.20624,Emden Biomasse,26725,operating,,Steam turbine
14,20,yes,,Emlichheim,2006,RWE Vertrieb AG,DE,0.38,Biomass and biogas,52.619274,6.86931,Biomasse-HKW,49824,operating,Neuerostraße 8,Steam turbine
15,12.6,no,,Flörsheim Wicker,2003,MVV Energie AG,DE,0.38,Biomass and biogas,50.022602,8.377209,BMKW Flörsheim Wicker,65439,operating,Am Steinmühlenweg 5,Steam turbine
16,12.4,yes,,Frankfurt am Main,2004,Mainova AG,DE,0.38,Biomass and biogas,50.12943,8.76792,BKF,60382,operating,Alt Fechenheim 34,Steam turbine
17,12.1,yes,,Gütersloh,2001,Pfleiderer Gütersloh GmbH,DE,0.38,Biomass and biogas,51.91537,8.40031,KWK Gütersloh,33332,operating,Stadtring Nordhorn 61,Steam turbine
18,20,yes,,Hagen,2004,Mark-E AG,DE,0.38,Biomass and biogas,51.411114,7.491698,Biomasse-Verstromungs-Anlage,58099,operating,,Steam turbine
19,20,yes,,Hamburg,2005,MVB Müllverwertung Borsigstraße GmbH,DE,0.38,Biomass and biogas,53.53188044,10.07459164,Müllverwertung Borsigstraße MVB,22113,operating,Borsigstraße 3,Steam turbine
20,16.8,no,,Hameln,2002,Enertec Hameln GmbH,DE,0.38,Biomass and biogas,52.09875,9.38821,Enertec Hameln,31789,operating,,Steam turbine
21,18.6,no,,Heiligengrabe,2002,Kronoply GmbH,DE,0.38,Biomass and biogas,53.148966,12.379742,Energieanlage 3,16909,operating,Wittstocker Chaussee 1,Steam turbine
22,14,yes,,Herbrechtingen,2004,Biomasse-Heizkraftwerk-Herbrechtingen GmbH,DE,0.38,Biomass and biogas,48.628498,10.200853,Bio HKW Herbrechtingen,89542,operating,Oskar-von-Miller-Weg 1,Steam turbine
23,78,yes,,Karlsruhe,2010,Stora Enso Maxau GmbH,DE,0.38,Biomass and biogas,49.0393,8.31134,Stora Enso Maxau,76187,operating,,Steam turbine
24,17.1,no,,Königs Wusterhausen,2003,MVV Energie AG,DE,0.38,Biomass and biogas,52.30479,13.63603,BMKW Königs Wusterhausen,15711,operating,Am Nordhafen 12,Steam turbine
25,15.1,yes,,Kösching,2007,BinderHolz Deutschland GmbH,DE,0.38,Biomass and biogas,48.79123,11.50679,BMHKW-BinderHolz,85092,operating,Einsteinstraße 9,Steam turbine
26,17.8,yes,,Krackow,2006,Geno Bioenergie Leasingfonds Erste GmbH & Co. KG,DE,0.38,Biomass and biogas,53.320352,14.271028,BioEnergie Park Klarsee,17329,operating,Ernst-Röwer-Ring 2,Steam turbine
27,20,no,,Landesbergen,2005,Statkraft Markets GmbH,DE,0.38,Biomass and biogas,52.57703,9.11009,Landesbergen Biomasse,31628,operating,,Steam turbine
28,20,no,,Lünen,2006,STEAG New Energies GmbH,DE,0.38,Biomass and biogas,51.61403992,7.481253974,BMK Lünen ,44536,operating,Josef Rethmann Straße 4,Steam turbine
29,9.8,yes,,Malchin,2003,envia THERM GmbH,DE,0.38,Biomass and biogas,53.74186,12.78302,Biomasse-Heizkraftwerk Malchin,17139,operating,,Steam turbine
30,17.9,no,,Mannheim,2003,MVV Energie AG,DE,0.38,Biomass and biogas,49.51644467,8.460246482,BMKW Mannheim,68169,operating,Otto-Hahn-Str. 1,Steam turbine
31,59.2,yes,,Mannheim,2000,SCA HYGIENE PRODUCTS GmbH,DE,0.38,Biomass and biogas,49.5349,8.46358,SCA Mannheim,68305,operating,Sandhofer Straße 176,Steam turbine
32,15.6,yes,,Neumarkt i.d. Oberpfalz,1997,Pfleiderer Neumarkt GmbH,DE,0.38,Biomass and biogas,49.26133,11.4516,KWK Neumarkt,92318,operating,Dreichlinger Str. 76,Steam turbine
33,20,no,,Papenburg,2003,EEV BioEnergie GmbH & Co. KG,DE,0.38,Biomass and biogas,53.09716,7.3954,Biomasse-HKW,26871,operating,Am Nordhafen 5,Steam turbine
34,12.3,yes,,Pforzheim,2004,Heizkraftwerk Pforzheim GmbH,DE,0.38,Biomass and biogas,48.89705,8.725,Heizkraftwerk Pforzheim GmbH,75175,operating,Hohwiesenweg 15,Steam turbine
35,15,yes,,Recklinghausen,2004,Ökotech Ingenieurgesellschaft mbh,DE,0.38,Biomass and biogas,51.604008,7.250848,BMHKW-RE Recklinghausen,45665,operating,Maria-May-Straße 1,Steam turbine
36,13.3,yes,,Schwedt,2009,UPM GmbH Werk Schwedt,DE,0.38,Biomass and biogas,53.08672,14.31935,UPM Schwedt,16306,operating,Kuhheide 1,Steam turbine
37,14,yes,,Stockstadt,2003,Sappi Stockstadt GmbH,DE,0.38,Biomass and biogas,49.97745,9.06872,Heizkraftwerk der Sappi Stockstadt GmbH,63811,operating,Obernburger Straße 1-9,Steam turbine
38,8.7,yes,,Ulm,2003,Fernwärme Ulm GmbH,DE,0.38,Biomass and biogas,48.39704,9.96484,BioHKW I,89077,operating,Magirusstr. 21,Steam turbine
39,4.5,yes,,Ulm,2012,Fernwärme Ulm GmbH,DE,0.38,Biomass and biogas,48.39704,9.96484,BioHKW II,89077,operating,Magirusstr. 21,Steam turbine
40,1.9,yes,,Varel,2006,Papier- u. Kartonfabrik Varel GmbH & Co. KG,DE,0.4504,Biomass and biogas,53.40317,8.12821,PKV Kraftwerk,26316,operating,Dangaster Straße 38,Combustion Engine
41,6.7,yes,,Wiesbaden,2006,InfraServ GmbH & Co. Wiesbaden KG,DE,0.38,Biomass and biogas,50.040546,8.253248,Wi-Biebrich,65203,operating,,Steam turbine
42,18.1,yes,,Wittenberg/ Piesteritz,2009,Stadtwerke Leipzig GmbH,DE,0.38,Biomass and biogas,51.870883,12.569466,Biomasseheizkraftwerk Piesteritz,6886,operating,,Steam turbine
43,10,yes,,Zolling,2003,ENGIE Deutschland AG,DE,0.38,Biomass and biogas,48.45534,11.8019,Zolling,85406,operating,Leininger Str. 1,Steam turbine
44,336,yes,280,Altbach,1997,EnBW Energie Baden-Württemberg AG,DE,0.44,Hard coal,48.717611,9.374917,Heizkraftwerk Altbach/Deizisau,73776,operating,Industriestraße 11,Steam turbine
45,433,yes,280,Altbach,1985,EnBW Energie Baden-Württemberg AG,DE,0.455,Hard coal,48.717611,9.374917,Heizkraftwerk Altbach/Deizisau,73776,operating,Industriestraße 11,Steam turbine
46,19,yes,,Arnsberg,1923,Reno De Medici Arnsberg GmbH,DE,0.2325,Hard coal,51.39139,8.07304,Reno De Medici,59821,operating,Hellefelderstr. 51,Steam turbine
47,717,yes,20,Bergkamen,1981,RWE Generation SE,DE,0.3775,Hard coal,51.63702,7.6191,Bergkamen,59192,operating,,Steam turbine
48,124,yes,244,Berlin,1969,Vattenfall Europe Wärme Aktiengesellschaft,DE,0.3475,Hard coal,52.532146,13.246072,Reuter,13599,operating,Otternbuchtstr. 11,Steam turbine
49,89,yes,136,Berlin,1990,Vattenfall Europe Wärme Aktiengesellschaft,DE,0.4,Hard coal,52.53735111,13.34611416,Moabit,13353,operating,Friedrich-Krause-Ufer 10- 15,Steam turbine
50,282,yes,363,Berlin,1987,Vattenfall Europe Wärme AG,DE,0.3925,Hard coal,52.53508792,13.24264526,Reuter West,13599,operating,Großer Spreering 5,Steam turbine
51,282,yes,363,Berlin,1988,Vattenfall Europe Wärme AG,DE,0.395,Hard coal,52.53508792,13.24264526,Reuter West,13599,operating,Großer Spreering 5,Steam turbine
52,726,no,,Bexbach,1983,STEAG GmbH,DE,0.3825,Hard coal,49.363481,7.237136,Kraftwerk Bexbach,66450,operating,Grubenstraße,Steam turbine
53,43.3,yes,,Braunschweig,1984,Braunschweiger Versorgungs-AG & Co. KG,DE,0.468,Hard coal,52.278611,10.514722,HKW-Mitte,38106,operating,,Combined cycle
54,119,yes,155,Bremen,1989,swb Erzeugung GmbH & Co. KG,DE,0.3975,Hard coal,53.06008,8.87328,KW Hastedt,28207,operating,Hastedter Osterdeich 255,Steam turbine
55,127,yes,,Bremen,1968,swb Erzeugung GmbH & Co. KG,DE,0.345,Hard coal,53.12482,8.72887,KW Hafen,28237,shutdown_temporary,Otavistr. 7-9,Steam turbine
56,300,yes,39,Bremen,1979,swb Erzeugung GmbH & Co. KG,DE,0.3725,Hard coal,53.124861,8.728657,KW Hafen,28237,operating,Otavistr. 7-9,Steam turbine
57,350,no,26,Bremen,1969,ENGIE Deutschland AG,DE,0.4425,Hard coal,53.20206653,8.516153926,Farge,28777,operating,Wilhelmshavener Str. 6,Steam turbine
58,95,yes,139,Duisburg,1985,Stadtwerke Duisburg AG,DE,0.3875,Hard coal,51.429324,6.751984,HKW I,47053,operating,Zirkelstraße,Steam turbine
59,370,yes,295,Duisburg,1988,Steag GmbH,DE,0.395,Hard coal,51.52672,6.71868,KW Walsum,47180,operating,Dr. Wilhelm-Roelen-Str.129,Steam turbine
60,725,yes,,Duisburg,2013,Steag GmbH,DE,0.4575,Hard coal,51.52672,6.71868,KW Walsum,47180,operating,Dr. Wilhelm-Roelen-Str.129,Steam turbine
61,283,no,60,Ensdorf,2001,Gemeinschaft nach Bruchteilen der Saarstahl AG (SAG) und Saarschmiede GmbH Freiformschmiede (SSF),DE,0.43,Hard coal,49.293248,6.770937,Kraftwerk Ensdorf,66806,operating,Kurt Kessler Str. 1,Steam turbine
62,106,yes,66,Ensdorf,1963,"VSE AG, Kraftwerk Ensdorf",DE,0.43,Hard coal,49.293248,6.770937,Kraftwerk Ensdorf,66806,operating,Kurt-Kessler-Str.,Steam turbine
63,17.4,yes,,Erlangen,1980,Erlanger Stadtwerke AG,DE,0.375,Hard coal,49.59283,11.00148,HKW Erlangen,91052,operating, Äußere Bruckerstr. 33,Steam turbine
64,27,yes,,Flensburg,1992,Stadtwerke Flensburg GmbH,DE,0.405,Hard coal,54.80495,9.43244,Heizkraftwerk FL,24939,operating,Batteriestr. 48,Steam turbine
65,29,yes,,Flensburg,1988,Stadtwerke Flensburg GmbH,DE,0.395,Hard coal,54.80495,9.43244,Heizkraftwerk FL,24939,operating,Batteriestr. 48,Steam turbine
66,33,yes,,Flensburg,1985,Stadtwerke Flensburg GmbH,DE,0.3875,Hard coal,54.80495,9.43244,Heizkraftwerk FL,24939,operating,Batteriestr. 48,Steam turbine
67,61.5,yes,,Frankfurt am Main,1989,Mainova AG,DE,0.3975,Hard coal,50.09843,8.65313,HKW West,60627,operating,Gutleutstraße 231,Steam turbine
68,61.5,yes,,Frankfurt am Main,1989,Mainova AG,DE,0.3975,Hard coal,50.09843,8.65313,HKW West,60627,operating,Gutleutstraße 231,Steam turbine
69,345,yes,,Gelsenkirchen,1969,Uniper Kraftwerke GmbH ,DE,0.3475,Hard coal,51.60236802,7.009894096,Scholven,45896,operating,,Steam turbine
70,345,yes,,Gelsenkirchen,1968,Uniper Kraftwerke GmbH ,DE,0.345,Hard coal,51.60236802,7.009894096,Scholven,45896,operating,,Steam turbine
71,70,yes,,Gelsenkirchen,1985,Uniper Kraftwerke GmbH ,DE,0.3875,Hard coal,51.59696,7.00452,FWK Buer,45896,operating,,Steam turbine
72,510,yes,300,Großkrotzenburg,1992,Uniper Kraftwerke GmbH ,DE,0.405,Hard coal,50.088553,8.953399,Staudinger,63538,operating,,Steam turbine
73,194,yes,785,Hamburg,1993,Vattenfall Europe Wärme Aktiengesellschaft,DE,0.4075,Hard coal,53.52616631,10.06317616,Tiefstack,22113,operating,Andreas-Meyer-Straße 8,Steam turbine
74,800,no,120,Hamburg,2015,Vattenfall Kraftwerk Moorburg GmbH,DE,0.4625,Hard coal,53.486245,9.953149,Moorburg B,21079,operating,,Steam turbine
75,800,,120,Hamburg,2015,Vattenfall Kraftwerk Moorburg GmbH,DE,0.4625,Hard coal,53.486245,9.953149,Moorburg A,21079,operating,Moorburger Schanze 2,Steam turbine
76,765,no,,Hamm-Uentrop,2014,RWE Generation SE,DE,0.46,Hard coal,51.680278,7.969722,Westfalen,59071,special_case,,Steam turbine
77,764,no,,Hamm-Uentrop,2014,RWE Generation SE,DE,0.46,Hard coal,51.680278,7.969722,Westfalen,59071,operating,,Steam turbine
78,136,yes,,Hannover,1989,Stadtwerke Hannover AG,DE,0.3975,Hard coal,52.42,9.648611,GKH,30419,operating,,Steam turbine
79,136,yes,,Hannover,1989,Stadtwerke Hannover AG,DE,0.3975,Hard coal,52.42,9.648611,GKH,30419,operating,,Steam turbine
80,125,yes,28,Heilbronn,1965,EnBW Energie Baden-Württemberg AG,DE,0.45,Hard coal,49.177334,9.206318,Heizkraftwerk Heilbronn,74076,operating,Lichtenbergerstraße 23,Steam turbine
81,125,yes,28,Heilbronn,1966,EnBW Energie Baden-Württemberg AG,DE,0.45,Hard coal,49.177334,9.206318,Heizkraftwerk Heilbronn,74076,operating,Lichtenbergerstraße 23,Steam turbine
82,778,yes,550,Heilbronn,1985,EnBW Energie Baden-Württemberg AG,DE,0.4475,Hard coal,49.177334,9.206318,Heizkraftwerk Heilbronn,74076,operating,Lichtenbergerstraße 23,Steam turbine
83,280,yes,,Herne,1966,Steag GmbH,DE,0.3975,Hard coal,51.550753,7.187481,KW Herne,44654,operating,Hertener Str. 16,Steam turbine
84,449,yes,550,Herne,1989,Steag GmbH,DE,0.4575,Hard coal,51.550753,7.187481,KW Herne,44655,operating,Hertener Str. 16,Steam turbine
85,690,no,,Hohenhameln OT Mehrum,1979,Stadtwerke Hannover AG,DE,0.4325,Hard coal,52.3150224,10.09141738,KWM,31249,operating,,Steam turbine
86,794,yes,20,Ibbenbüren,1985,RWE Generation SE,DE,0.4475,Hard coal,52.28881179,7.747906179,Ibbenbüren,49479,operating,,Steam turbine
87,66,yes,,Industriepark Höchst,1989,Infraserv GmbH & Co. Höchst KG,DE,0.4905,Hard coal,50.09178,8.53105,Heizkraftwerk,65926,operating,,Combined cycle
88,13.4,yes,,Kaiserslautern,1996,SWK - Stadtwerke Kaiserslautern,DE,0.415,Hard coal,49.43461,7.75824,HKW Karcherstr.,67655,operating,,Steam turbine
89,505,yes,220,Karlsruhe,1985,EnBW Energie Baden-Württemberg AG,DE,0.4375,Hard coal,49.0125,8.302778,Rheinhafen-Dampfkraftwerk,76189,operating,Fettweisstraße 42,Steam turbine
90,842,yes,220,Karlsruhe,2014,EnBW Energie Baden-Württemberg AG,DE,0.46,Hard coal,49.0125,8.302778,Rheinhafen-Dampfkraftwerk,76189,operating,Fettweisstraße 42,Steam turbine
91,323,yes,295,Kiel,1970,Gemeinschaftskraftwerk Kiel GmbH,DE,0.405,Hard coal,54.33945,10.1766,Gemeinschaftskraftwerk Kiel,24149,operating,,Steam turbine
92,26,yes,,Krefeld-Uerdingen,1957,Currenta GmbH & Co. OHG,DE,0.3175,Hard coal,51.369811,6.6615,Kraftwerk L 57,47812,operating,"CHEMPARK, Geb. L 57",Steam turbine
93,110,yes,460,Krefeld-Uerdingen,1971,Currenta GmbH & Co. OHG,DE,0.3525,Hard coal,51.369811,6.6615,Kraftwerk N 230,47812,operating,"CHEMPARK, Geb. N 230",Steam turbine
94,103,yes,,Leverkusen,1962,Currenta GmbH & Co. OHG,DE,0.33,Hard coal,51.368872,6.654106,G-Kraftwerk,51368,operating,"CHEMPARK, Geb. G 22",Steam turbine
95,149,no,,Lünen,1962,Steag GmbH,DE,0.415,Hard coal,51.61403992,7.481253974,KW Lünen,44536,operating,Moltkestr. 215,Steam turbine
96,324,yes,,Lünen,1969,Steag GmbH,DE,0.4175,Hard coal,51.61403992,7.481253974,KW Lünen,44537,operating,Moltkestr. 215,Steam turbine
97,746,yes,35,Lünen,2013,Trianel Kohlekraftwerk Lünen GmbH & Co. KG,DE,0.4575,Hard coal,51.6124,7.46532,Trianel Kohlekraftwerk Lünen,44536,operating,Frydagstr. 40,Steam turbine
98,255,yes,,Mannheim,2005,Grosskraftwerk Mannheim AG,DE,0.4375,Hard coal,49.445694,8.490444,GKM ,68199,operating,Marguerrestraße 1,Steam turbine
99,425,yes,500,Mannheim,1982,Grosskraftwerk Mannheim AG,DE,0.38,Hard coal,49.445694,8.490444,GKM ,68199,operating,Marguerrestraße 1,Steam turbine
100,435,yes,500,Mannheim,1993,Grosskraftwerk Mannheim AG,DE,0.4075,Hard coal,49.445694,8.490444,GKM ,68199,operating,Marguerrestraße 1,Steam turbine
101,843,yes,,Mannheim,2015,Grosskraftwerk Mannheim AG,DE,0.4625,Hard coal,49.445694,8.490444,GKM ,68199,operating,Marguerrestraße 1,Steam turbine
102,120,yes,,Marl,1939,Evonik Degussa GmbH,DE,0.2725,Hard coal,51.68037,7.09688,Kraftwerk I,45772,operating,Paul-Baumann-Str. 1,Steam turbine
103,55.3,yes,,Marl,1971,Evonik Degussa GmbH,DE,0.3525,Hard coal,51.68037,7.09688,Kraftwerk I  ,45772,operating,Paul-Baumann-Str. 1,Steam turbine
104,60.4,yes,,Marl,1966,Evonik Degussa GmbH,DE,0.34,Hard coal,51.68037,7.09688,Kraftwerk II,45772,operating,Paul-Baumann-Str. 1,Steam turbine
105,60.2,yes,,Marl,1983,Evonik Degussa GmbH,DE,0.3825,Hard coal,51.68037,7.09688,Kraftwerk I ,45772,operating,Paul-Baumann-Str. 1,Steam turbine
106,54,yes,,Offenbach,1990,Energieversorgung Offenbach AG,DE,0.4,Hard coal,50.065155,8.768964,Heizkraftwerk Offenbach,63067,operating,,Steam turbine
107,875,no,,Petershagen,1987,Uniper Kraftwerke GmbH ,DE,0.3925,Hard coal,52.38279238,8.996004114,Heyden,32469,operating,,Steam turbine
108,26.9,yes,,Pforzheim,1990,Heizkraftwerk Pforzheim GmbH,DE,0.4,Hard coal,48.88316,8.6653,Heizkraftwerk Pforzheim GmbH,75175,operating,Hohwiesenweg 15,Steam turbine
109,655.6,yes,30,Quierschied,1976,Saar GmbH,DE,0.365,Hard coal,49.33413028,7.031355928,Weiher,66287,operating,Holzer Straße,Steam turbine
110,514,yes,150,Rostock,1994,EnBW Energie Baden-Württemberg AG,DE,0.41,Hard coal,54.14282177,12.13287489,KNG Kraftwerk Rostock,18147,operating,Am Kühlturm 1,Steam turbine
111,50,yes,,Saarbrücken,1988,Energie SaarLorLux AG,DE,0.4375,Hard coal,49.223899,7.014899,HKW Römerbrücke,66121,operating,,Steam turbine
112,24.8,yes,,Stockstadt,1969,Sappi Stockstadt GmbH,DE,0.3475,Hard coal,49.97745,9.06872,Heizkraftwerk der Sappi Stockstadt GmbH,63811,operating,Obernburger Straße 1-9,Steam turbine
113,22.6,yes,,Stuttgart,2009,EnBW Energie Baden-Württemberg AG,DE,0.4475,Hard coal,48.782453,9.231483,Heizkraftwerk Stuttgart-Gaisburg,70376,operating,Langwiesenweg 23,Steam turbine
114,45,yes,,Stuttgart,1982,EnBW Energie Baden-Württemberg AG,DE,0.38,Hard coal,48.815833,9.221111,Restmüll-Heizkraftwerk Stuttgart-Münster,70376,operating,Voltastraße 45,Steam turbine
115,45,yes,,Stuttgart,1984,EnBW Energie Baden-Württemberg AG,DE,0.385,Hard coal,48.815833,9.221111,Restmüll-Heizkraftwerk Stuttgart-Münster,70376,operating,Voltastraße 45,Steam turbine
116,40,yes,,Uelzen,1990,"Nordzucker AG, Werk Uelzen",DE,0.4,Hard coal,52.9751813,10.5573974,Werk Uelzen,29525,special_case,An der Zuckerfabrik 1,Steam turbine
117,20.7,yes,,Ulm,1978,Fernwärme Ulm GmbH,DE,0.37,Hard coal,48.39704,9.96484,Heizkraftwerk Magirusstraße,89077,operating,Magirusstr. 21,Steam turbine
118,332.7,yes,550,Unterföhring,1991,SWM Services GmbH,DE,0.4025,Hard coal,48.180506,11.639612,Nord 2,85774,operating,,Steam turbine
119,318,no,,Voerde,1971,Steag GmbH,DE,0.3525,Hard coal,51.57962,6.67888,KW West,46563,operating,Frankfurter Str. 430,Steam turbine
120,322,no,,Voerde,1971,Steag GmbH,DE,0.3525,Hard coal,51.57962,6.67888,KW West,46562,operating,Frankfurter Str. 430,Steam turbine
121,695,no,,Voerde,1982,Kraftwerk Voerde beschränkt haftende OHG,DE,0.38,Hard coal,51.576475,6.689428,KW Voerde,46562,operating,Frankfurter Str 430,Steam turbine
122,695,no,,Voerde,1985,Kraftwerk Voerde beschränkt haftende OHG,DE,0.3875,Hard coal,51.576475,6.689428,KW Voerde,46563,operating,Frankfurter Str 430,Steam turbine
123,179,yes,210,Völklingen-Fenne,1982,Saar GmbH,DE,0.38,Hard coal,49.249018,6.879244,Modellkraftwerk,66333,operating,Saarbrücker Straße 135-137,Steam turbine
124,211,yes,185,Völklingen-Fenne,1989,Saar GmbH,DE,0.3975,Hard coal,49.249018,6.879244,Heizkraftwerk,66333,operating,Saarbrücker Straße 135-137,Steam turbine
125,96,no,,Walheim,1964,EnBW Energie Baden-Württemberg AG,DE,0.4525,Hard coal,49.017472,9.157389,Kraftwerk Walheim,74399,operating,Mühlstraße,Steam turbine
126,148,no,,Walheim,1967,EnBW Energie Baden-Württemberg AG,DE,0.4525,Hard coal,49.017472,9.157389,Kraftwerk Walheim,74399,operating,Mühlstraße,Steam turbine
127,123,yes,,Wedel,1962,Vattenfall Europe Wärme AG,DE,0.4075,Hard coal,53.56695702,9.724445343,Wedel,22880,operating,Tinsdaler Weg 146,Steam turbine
128,137,yes,423,Wedel,1961,Vattenfall Europe Wärme AG,DE,0.4075,Hard coal,53.56695702,9.724445343,Wedel,22880,operating,Tinsdaler Weg 146,Steam turbine
129,310,,,Werdohl,1982,Mark-E AG,DE,0.38,Hard coal,51.276361,7.705667,Kraftwerk Werdohl-Elverlingsen,58791,operating,,Steam turbine
130,620,no,,Werne,1984,RWE Generation SE,DE,0.385,Hard coal,51.672453,7.709947,Gersteinwerk,59368,operating,,Steam turbine
131,757,no,,Wilhelmshaven,1976,Uniper Kraftwerke GmbH ,DE,0.365,Hard coal,53.565819,8.146245,Wilhelmshaven,26386,operating,,Steam turbine
132,731,no,,Wilhelmshaven,2015,ENGIE Deutschland AG,DE,0.4625,Hard coal,53.578698,8.132685,Kraftwerk Wilhelmshaven,26386,operating,Niedersachsendamm,Steam turbine
133,61.5,yes,,Wolfsburg,2000,Volkswagen AG,DE,0.425,Hard coal,51.25292,9.43796,HKW Nord,38436,operating,,Steam turbine
134,61.5,yes,,Wolfsburg,2000,Volkswagen AG,DE,0.425,Hard coal,52.43279,10.78611,HKW Nord,38436,operating,,Steam turbine
135,138.5,yes,140,Wolfsburg,1985,Volkswagen AG,DE,0.3875,Hard coal,51.25292,9.43796,HKW West,38436,operating,,Steam turbine
136,138.5,yes,140,Wolfsburg,1985,Volkswagen AG,DE,0.3875,Hard coal,52.44223,10.76454,HKW West,38436,operating,,Steam turbine
137,85,yes,201,Wuppertal,1989,WSW Energie & Wasser AG,DE,0.3975,Hard coal,51.24835,7.11874,HKW Elberfeld ,42117,operating,,Steam turbine
138,472,yes,150,Zolling,1986,ENGIE Deutschland AG,DE,0.4525,Hard coal,48.455353,11.799456,Zolling,85406,operating,Leininger Str. 1,Steam turbine
139,152,no,,Hamm-Uentrop,1963,RWE Generation SE,DE,0.3325,Hard coal,51.67782,7.9742,Westfalen,59071,shutdown,,Steam turbine
140,152,no,,Hamm-Uentrop,1963,RWE Generation SE,DE,0.3325,Hard coal,51.67782,7.9742,Westfalen,59071,shutdown,,Steam turbine
141,133,yes,,Duisburg,1965,Stadtwerke Duisburg AG,DE,0.3375,Hard coal,51.429324,6.751984,HKW II/B,47053,shutdown,Zirkelstraße,Steam turbine
142,293,no,,Großkrotzenburg,1970,Uniper Kraftwerke GmbH ,DE,0.35,Hard coal,50.088553,8.953399,Staudinger,63538,shutdown,,Steam turbine
143,93,no,,Porta Westfalica,1965,Gemeinschaftskraftwerk Veltheim GmbH,DE,0.3375,Hard coal,52.19004,8.93318,Kraftwerk Veltheim,32457,shutdown,,Steam turbine
144,28,yes,,Albbruck,2009,Papierfabrik Albbruck GmbH,DE,0.4475,Hard coal,47.58931,8.13261,Papierfabrik Albbruck,79774,shutdown,,Steam turbine
145,95,yes,,Datteln,1964,Uniper Kraftwerke GmbH ,DE,0.335,Hard coal,51.62952,7.331174,Datteln,45711,shutdown,,Steam turbine
146,95,yes,,Datteln,1964,Uniper Kraftwerke GmbH ,DE,0.335,Hard coal,51.62952,7.331174,Datteln,45711,shutdown,,Steam turbine
147,113,no,,Datteln,1969,Uniper Kraftwerke GmbH ,DE,0.3475,Hard coal,51.62952,7.331174,Datteln,45711,shutdown,,Steam turbine
148,249,yes,,Großkrotzenburg,1965,Uniper Kraftwerke GmbH ,DE,0.3375,Hard coal,50.088553,8.953399,Staudinger,63538,shutdown,,Steam turbine
149,132,yes,,Herne,1957,Uniper Kraftwerke GmbH ,DE,0.3175,Hard coal,51.52849121,7.17779686,Shamrock,44652,shutdown,,Steam turbine
150,345,yes,,Dortmund,1971,Uniper Kraftwerke GmbH ,DE,0.3525,Hard coal,51.56846926,7.349182511,Knepper,44357,shutdown,,Steam turbine
151,129,no,,Duisburg,1959,Steag GmbH,DE,0.3225,Hard coal,51.528611,6.711944,KW Walsum,47179,shutdown,Dr. Wilhelm-Roelen-Str.129,Steam turbine
