index,capacity,chp,chp_capacity,city,commissioned,company,zone,eta,fuel,lat,lon,name,postcode,status,street,technology
5710,5.63,,,Villalba de la Sierra,1926,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,40.2351924,-2.0897157,VILLALBA GRUPO 1,,,,
5711,5.58,,,Villalba de la Sierra,1926,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,40.2351924,-2.0897157,VILLALBA GRUPO 2,,,,
5712,19.71,,,Tiemblo (El),1970,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,40.424446,-4.533892,BURGUILLO GRUPO 1,,,,
5713,21.2,,,Tiemblo (El),1930,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,40.424446,-4.533892,BURGUILLO GRUPO 2,,,,
5714,21.04,,,Tiemblo (El),1930,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,40.424446,-4.533892,BURGUILLO GRUPO 3,,,,
5715,6.53,,,Cebreros,1929,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,40.4551504,-4.4651595,PUENTE NUEVO GRUPO 1,,,,
5716,6.75,,,Cebreros,1929,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,40.4551504,-4.4651595,PUENTE NUEVO GRUPO 2,,,,
5717,6.79,,,Cebreros,1929,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,40.4551504,-4.4651595,PUENTE NUEVO GRUPO 3,,,,
5718,19.05,,,San Martin de Valdeiglesias,1955,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,40.372892,-4.311872,SAN JUAN GRUPO 1,,,,
5719,19.76,,,San Martin de Valdeiglesias,1956,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,40.372892,-4.311872,SAN JUAN GRUPO 2,,,,
5720,12.15,,,Navas del Rey,1952,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,40.3863666,-4.2508402,LAS PICADAS GRUPO 1,,,,
5721,12.17,,,Navas del Rey,1952,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,40.3863666,-4.2508402,LAS PICADAS GRUPO 2,,,,
5722,16.3,,,Barrios de Luna (Los),1955,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,42.849659,-5.863412,SAN ISIDORO (BARRIOS) GRUPO 1,,,,
5723,16.43,,,Barrios de Luna (Los),1955,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,42.849659,-5.863412,SAN ISIDORO (BARRIOS) GRUPO 2,,,,
5724,7.65,,,Barrios de Luna (Los),1955,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,42.849659,-5.863412,SAN ISIDORO (BARRIOS) GRUPO 3,,,,
5725,7.56,,,Barrios de Luna (Los),1955,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,42.849659,-5.863412,SAN ISIDORO (BARRIOS) GRUPO 4,,,,
5726,7.98,,,Rioseco de Tapia,1964,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,42.7294093,-5.7913406,ESPINOSA GRUPO 1,,,,
5727,7.7,,,Cimanes del Tejar,1968,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,42.6177068,-5.8059392,CIMANES GRUPO 1,,,,
5728,7.71,,,Cimanes del Tejar,1968,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,42.6177068,-5.8059392,ALCOBA GRUPO 1,,,,
5729,0.57,,,Una,1987,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,40.2231089,-1.977556,LA TOBA GRUPO 1,,,,
5730,0.67,,,Villamanrique de Tajo,1962,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,40.0687738,-3.2401679,BUENAMESON GRUPO 1,,,,
5731,0.67,,,Villamanrique de Tajo,1962,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,40.0687738,-3.2401679,BUENAMESON GRUPO 2,,,,
5732,0.67,,,Villamanrique de Tajo,1962,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,40.0687738,-3.2401679,BUENAMESON GRUPO 3,,,,
5733,0.47,,,Carrascal del Rio,1956,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,41.3678211,-3.8978334,BURGOMILLODO GRUPO 1,,,,
5734,0.4,,,Carrascal del Rio,1956,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,41.3678211,-3.8978334,BURGOMILLODO GRUPO 2,,,,
5735,0.47,,,Carrascal del Rio,1956,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,41.3678211,-3.8978334,BURGOMILLODO GRUPO 3,,,,
5736,2.33,,,Carrascal del Rio,1956,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,41.3678211,-3.8978334,BURGOMILLODO GRUPO 4,,,,
5737,0.97,,,Maderuelo,1961,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,41.4867788,-3.5219055,LINARES ARROYO GRUPO 1,,,,
5738,0.86,,,Maderuelo,1961,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,41.4867788,-3.5219055,LINARES ARROYO GRUPO 2,,,,
5739,2.27,,,Fuentiduena,1962,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,41.4408407,-3.9800537,LAS VENCIAS GRUPO 1,,,,
5740,0.33,,,Sena de Luna,1926,CONFEDERACION HIDROGRAFICA DEL DUERO,ES,,Hydro,42.9290995,-5.9524814,LANCARA GRUPO 1,,,,
5741,0.87,,,Sena de Luna,1926,CONFEDERACION HIDROGRAFICA DEL DUERO,ES,,Hydro,42.9290995,-5.9524814,LANCARA GRUPO 2,,,,
5742,0.17,,,Villadecanes,1925,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,42.5806195,-6.7590917,EL PELGO GRUPO 1,,,,
5743,0.34,,,Villadecanes,1941,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,42.5806195,-6.7590917,EL PELGO GRUPO 2,,,,
5744,102.5,,,Chantada,1963,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,42.628788,-7.711572,BELESAR GRUPO 1,,,,
5745,104.81,,,Chantada,1963,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,42.628788,-7.711572,BELESAR GRUPO 2,,,,
5746,102.9,,,Chantada,1963,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,42.628788,-7.711572,BELESAR GRUPO 3,,,,
5747,59.99,,,Carballedo,1953,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,42.465274,-7.723018,LOS PEARES GRUPO 1,,,,
5748,60.39,,,Carballedo,1954,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,42.465274,-7.723018,LOS PEARES GRUPO 2,,,,
5749,60.64,,,Carballedo,1955,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,42.465274,-7.723018,LOS PEARES GRUPO 3,,,,
5750,45.71,,,Ourense,1966,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,42.357771,-7.851453,VELLE GRUPO 1,,,,
5751,40.77,,,Ourense,1967,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,42.357771,-7.851453,VELLE GRUPO 2,,,,
5752,67.5,,,Castrelo de Mino,1969,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,42.292457,-8.117347,CASTRELO GRUPO 1,,,,
5753,68.09,,,Castrelo de Mino,1969,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,42.292457,-8.117347,CASTRELO GRUPO 2,,,,
5754,67.6,,,Boboras,1973,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,42.397712,-8.157176,ALBARELLOS GRUPO 1,,,,
5755,80.5,,,Padrenda,1970,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,42.154699,-8.192467,FRIEIRA GRUPO 1,,,,
5756,80.11,,,Padrenda,1970,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,42.154699,-8.192467,FRIEIRA GRUPO 2,,,,
5757,14.32,,,Parada de Sil,1970,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,42.335657,-7.520915,REGUEIRO GRUPO 1,,,,
5758,14.32,,,Parada de Sil,1970,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,42.335657,-7.520915,REGUEIRO GRUPO 2,,,,
5759,52.82,,,Muinos,1973,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,41.925664,-7.942624,SALAS GRUPO 1,,,,
5760,12.56,,,Lobios,1949,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,42.407446,-7.5303773,LAS CONCHAS GRUPO 1,,,,
5761,12.63,,,Lobios,1949,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,42.407446,-7.5303773,LAS CONCHAS GRUPO 2,,,,
5762,24.19,,,Lobios,1973,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,42.407446,-7.5303773,LAS CONCHAS GRUPO 3,,,,
5763,4.26,,,Noia,1927,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,42.83637,-8.849735,TAMBRE I GRUPO 1,,,,
5764,4.36,,,Noia,1927,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,42.83637,-8.849735,TAMBRE I GRUPO 2,,,,
5765,4.3,,,Noia,1927,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,42.83637,-8.849735,TAMBRE I GRUPO 3,,,,
5766,10.34,,,Noia,1948,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,42.83637,-8.849735,TAMBRE I GRUPO 4,,,,
5767,62.7,,,Noia,1975,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,42.83637,-8.849735,TAMBRE II GRUPO 1,,,,
5768,44,,,Vila de Cruces,1968,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,42.85559,-8.190876,PORTODEMOUROS GRUPO 1,,,,
5769,44.12,,,Vila de Cruces,1968,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,42.85559,-8.190876,PORTODEMOUROS GRUPO 2,,,,
5770,0.534,,,Vilasantar,1984,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,43.0727154,-8.1218331,MEZONZO GRUPO 1,,,,
5771,0.455,,,Vilasantar,1984,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,43.0727154,-8.1218331,MEZONZO GRUPO 2,,,,
5772,1.128,,,Montederramo,1947,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,42.2752812,-7.5027103,LEBOREIRO GRUPO 1,,,,
5773,1.149,,,Montederramo,1947,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,42.2752812,-7.5027103,LEBOREIRO GRUPO 2,,,,
5774,2.365,,,Carballino (O),1960,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Hydro,42.5890354,-6.3221113,CABANELAS GRUPO 1,,,,
