nuts_id,biomass/ccgt,biomass/generator,hydro/tidal,sun/geothermal
CH011,6.284,0,0,0
CH012,1.223,21,0,0
CH013,0.44,0,0,0
CH021,9.1533,0,0,0
CH022,5.1053,0,0,0
CH023,1.62,0,0,0
CH024,0.6801,0,0,0
CH025,2.174,0,0,0
CH032,1.365,0,0,0
CH033,6.072,0,0,0
CH040,4.5,3.1,0,0
CH051,0.295,0,0,0
CH052,1.81,0,0,0
CH053,0.054,0,0,0
CH054,0.06,0,0,0
CH055,5.109,0,0,0
CH056,1.0445,0,0,0
CH057,2.723,0,0,0
CH061,7.444,0.18,0,0
CH062,0.13,0,0,0
CH063,1.709,0,0,0
CH064,0.55,0,0,0
CH065,0.104,0,0,0
CH066,0.882,0,0,0
CH070,1.586,0,0,0
CZ010,12.508,0,0,0
CZ020,197.5676158,0,0,0
CZ031,86.834,0,0,0
CZ032,73.34338425,0,0,0
CZ041,18.25584618,0,0,0
CZ042,613.1491538,0,0,0
CZ051,32.13,0,0,0
CZ052,53.181,0,0,0
CZ053,52.661,0,0,0
CZ063,81.892,0,0,0
CZ064,59.04080971,0,0,0
CZ071,110.2590488,0,0,0
CZ072,23.323,0,0,0
CZ080,68.06814149,0,0,0
DE111,0.2758,0,0,0
DE112,11.0103,0,0,0
DE113,6.1705,0,0,0
DE114,11.644,0,0,0
DE115,28.6644,0,0,0
DE116,15.186,0,0,0
DE117,3.9,0,0,0
DE118,12.8241,0,0,0
DE119,13.636,0,0,0
DE11A,66.8215,0,0,0
DE11B,9.2575,0,0,0
DE11C,30.703,0,0,0
DE11D,28.2415,0,0,0
DE121,0.417,0,0,0
DE122,0.91295,0,0,0
DE123,7.22,0,0,0.55
DE124,15.9923,0,0,0
DE125,7.867,0,0,0
DE126,49.428,0,0,0
DE127,24.7953,0,0,0
DE128,16.334,0,0,0
DE129,15.7723,0,0,0
DE12A,3.5868,0,0,0
DE12B,2.919,0,0,0
DE12C,16.2842,0,0,0
DE131,6.7755,0,0,0
DE132,6.7071,0,0,0
DE133,6.03,0,0,0
DE134,36.5989,0,0,0
DE135,19.806,0,0,0
DE136,31.9322,0,0,0
DE137,16.004,0,0,0
DE138,34.4065,0,0,0
DE139,0.9773,0,0,0
DE13A,17.4595,0,0,0
DE141,29.8505,0,0,0
DE142,9.8183,0,0,0
DE143,9.648,0,0,0
DE144,18.755,0,0,0
DE145,57.20865,0,0,0
DE146,75.24345,0,0,0
DE147,6.866,0,0,0
DE148,55.5621,0,0,0
DE149,39.3945,0,0,0
DE211,0.505,0,0,0
DE212,3.631,0,0,0
DE213,9.108,0,0,0
DE214,24.6675,0,0,0
DE215,5.3185,0,0,0
DE216,6.167,0,0,0
DE217,21.879,0,0,0
DE218,13.854,0,0,0
DE219,24.1526,0,0,0
DE21A,55.1998,0,0,0
DE21B,42.2636,0,0,0
DE21C,9.615,0,0,0
DE21D,7.6,0,0,0
DE21E,14.0033,0,0,0
DE21F,1.1887,0,0,5.5
DE21G,28.582,0,0,0
DE21H,12.1844,0,0,31.744
DE21I,10.204,0,0,0
DE21J,14.1468,0,0,0
DE21K,44.9385,0,0,0
DE21L,0.93,0,0,0
DE21M,46.01786,0,0,5.5
DE21N,20.399,0,0,0
DE221,0.255,0,0,0
DE222,5.5896,0,0,0
DE223,1.354,0,0,0
DE224,13.0842,0,0,0
DE225,6.3155,0,0,0
DE226,23.1065,0,0,0
DE227,40.971,0,0,0
DE228,27.5445,0,0,0
DE229,4.806,0,0,0
DE22A,60.076,0,0,0
DE22B,13.6265,0,0,0
DE22C,42.299,0,0,0
DE231,3.2015,0,0,0
DE232,7.1098,0,0,0
DE233,0.851,0,0,0
DE234,22.11566,0,0,0
DE235,48.33682725,0,0,0
DE236,47.9005,0,0,0
DE237,26.6763,0,0,0
DE238,7.9425,0,0,0
DE239,30.39887275,0,0,0
DE23A,38.3053,0,0,0
DE241,0.516,0,0,0
DE242,2.808,0,0,0
DE243,0.6463,0,0,0
DE244,6.232,0,0,0
DE245,23.3615,0,0,0
DE246,19.1914,0,0,0
DE247,16.148,0,0,0
DE248,10.752,0,0,0
DE249,17.462,0,0,0
DE24A,2.3645,0,0,0
DE24B,3.694,0,0,0
DE24C,8.071,0,0,0
DE24D,13.508,0,0,0
DE251,5.297,0,0,0
DE252,0.4655,0,0,0
DE253,6.744,0,0,0
